Feature,Mean_Absolute_SHAP
var1,0.11656775404496252
var4,0.05637034770540086
var42,0.03088880485940078
var3,0.02864312192836223
var39,0.027556877254079848
var38,0.023310388125870638
var43,0.02222830341560933
var52,0.021753065292864047
var44,0.01940059490749225
var14,0.018826493136445303
var46,0.014612870861511624
var53,0.013979714399095672
var29,0.012903381602359926
var58,0.01180592001715343
var47,0.010451884535803585
var59,0.010241618201550036
var30,0.00996616095632983
var45,0.0067472611853220555
var50,0.006440190296683643
var37,0.0047167661195319606
var2,0.0031368889280509573
var32,0.0031037548547349207
var6,0.0029466719201567677
