Feature,Mean_Absolute_SHAP
var1,0.13803022951751512
var4,0.07467595375885314
var3,0.02872144982538775
var42,0.028605062970853783
var38,0.02533249295022152
var39,0.024708234799799233
var52,0.023904877329568936
var44,0.02238549199204819
var43,0.021755567218383797
var14,0.019739280898816474
var53,0.015312982570167694
var46,0.014344576829352753
var29,0.013313356032412663
var59,0.01156544429385805
var47,0.011214077742055928
var30,0.01074146991756522
var50,0.007165627498423533
var32,0.004893624413821621
