Feature,Mean_Absolute_SHAP
var1,0.12412947177453323
var4,0.07455087356632246
var3,0.02800013887900488
var42,0.027063863511785868
var38,0.025852360832008422
var39,0.024969188801485014
var43,0.023231753568320218
var52,0.02121540402561702
var14,0.020623452006573863
var44,0.01914196729128732
var53,0.015122724682682347
var46,0.014626896974378453
var58,0.013264492378488415
var29,0.012806256870600153
var30,0.010269289193283222
var47,0.01020966003595762
var59,0.009493107151564397
var50,0.006988814728256513
var37,0.004517498642900185
var32,0.004069098111116928
var6,0.002740881281830709
