Feature,Mean_Absolute_SHAP
var1,0.11801923731978592
var4,0.07394679404568925
var39,0.027053193370386287
var42,0.026860886301050425
var38,0.023653473101161934
var52,0.022553013654839027
var43,0.021628893365582394
var3,0.021470095839109582
var44,0.021002803815947834
var14,0.018778802147496734
var46,0.015301788050875603
var45,0.013595250447294406
var30,0.013320215988332015
var58,0.012769301847548344
var59,0.012662193014783286
var29,0.01141356989458662
var53,0.011051387459465479
var47,0.009474985313157583
var50,0.009375723753252092
var2,0.006227827608483033
var37,0.0057354083947980085
var25,0.004051131735469999
var32,0.003549749563490478
var6,0.0029611457082021086
