Feature,Mean_Absolute_SHAP
var1,0.13095397414895715
var4,0.0793696295432463
var3,0.028782056049050656
var42,0.02704178258501591
var39,0.023795129126628244
var52,0.023626101471196675
var43,0.022087487264876075
var44,0.021761839419406178
var38,0.02140387530139176
var14,0.018195515111120483
var53,0.0155660768497011
var46,0.01380443988117944
var29,0.012948130790662465
var58,0.011865554914351942
var59,0.01089756245965625
var30,0.010576310958888127
var47,0.01018820244984218
var50,0.00693278043252345
var32,0.004733228621547367
var6,0.002741794158055345
