Feature,Mean_Absolute_SHAP
var1,0.10866084138892439
var4,0.06028691472475507
var3,0.028302965985897967
var42,0.027843731206426314
var39,0.025020503700787424
var43,0.02328349632413426
var38,0.023050636575626327
var52,0.020176551325035742
var44,0.019231023198009498
var14,0.017798894584496277
var53,0.01510182597142064
var46,0.014819921241964478
var58,0.012234816786385732
var29,0.01182718238791353
var30,0.011391040108528282
var59,0.010668354181731853
var47,0.00965263145762224
var45,0.007397021598959889
var50,0.006798491961930681
var25,0.005016081225867578
var37,0.0043710295825715425
var24,0.004357834004736339
var2,0.003239364775375116
var32,0.003048377791105761
var6,0.002971387171718346
