Feature,Mean_Absolute_SHAP
var1,0.13668820477848068
var4,0.06563777075160142
var3,0.030799248112064876
var42,0.029519070689497058
var38,0.027619816143383734
var52,0.024530651255839482
var39,0.023968627544648756
var43,0.022159894211084715
var44,0.020659025499030627
var14,0.01892121712629957
var53,0.016903213791206347
var59,0.014667395687243
var46,0.01431320059452778
var30,0.01254401971998064
var29,0.011209732154712437
var47,0.010761852706596959
var50,0.007102716783044121
var32,0.004702917190964644
var6,0.002229258042792521
