Feature,Importance
var1,0.2642866534345173
var4,0.09216497887645396
var42,0.07738059793772006
var39,0.060640985283441994
var3,0.05827480455262848
var43,0.05319911882971587
var38,0.051767343778129644
var52,0.04671949213738662
var53,0.04043076069072445
var14,0.03795265573661195
var46,0.03441012704169487
var44,0.03294598294338716
var59,0.0283713657660987
var30,0.02747289418281657
var29,0.02724559603695531
var50,0.020099012262439646
var47,0.01859317163852886
var32,0.0177963598876797
var6,0.01024809898306899
