Feature,Importance
var1,0.24223334341267788
var4,0.08650265733521921
var42,0.07385582980374848
var39,0.05861006175131048
var43,0.05040333350464621
var3,0.05002882399258629
var38,0.04600853503705062
var52,0.04480671393285466
var53,0.04265595891092484
var14,0.040881664725001036
var44,0.03627132630594151
var46,0.03465213210935916
var58,0.02963387961300968
var29,0.027201669046528227
var30,0.024487415117188303
var37,0.02207107843673136
var59,0.021575146493719752
var50,0.018977576026332457
var47,0.017252078580580144
var32,0.01714740585912728
var6,0.010475423988247011
var2,0.0042679460172155665
