Feature,Importance
var1,0.22486721501546883
var42,0.08392454562575193
var4,0.07710835181522363
var39,0.06821887310769295
var3,0.052756922276200234
var43,0.05193797409547726
var38,0.0444724522126789
var52,0.04430471463255824
var14,0.041841642838274025
var53,0.03760309133663896
var44,0.03637178560633244
var46,0.03541205239292596
var29,0.028096922419580495
var58,0.027914139659415593
var30,0.02411652818186538
var59,0.021537249973850165
var50,0.01923670167089903
var47,0.018491745510967657
var37,0.01772730742434958
var32,0.015657611876622575
var45,0.014132300784828694
var6,0.010776429925966795
var2,0.003493441616430723
