Feature,Importance
var1,0.21022052869837193
var4,0.08496955925989726
var42,0.07824908217729303
var39,0.06627778449917286
var43,0.056774664735670964
var3,0.053496569768153555
var38,0.04413111775532943
var52,0.04214405912173345
var14,0.03988641691110812
var53,0.03788618424097458
var46,0.036072601245033094
var44,0.032116257776744574
var58,0.02755022582416482
var29,0.024265656417714533
var30,0.024207376734259173
var59,0.02229926267135429
var47,0.01943935585565446
var37,0.018428622155841883
var50,0.018318302160863373
var32,0.015018159452475153
var45,0.012803598847898369
var24,0.011079738968813627
var25,0.010141855224287314
var6,0.009369818299984723
var2,0.004853201197205373
