Feature,Importance
var1,0.23984107212079486
var4,0.09184958737749416
var42,0.07579637796036288
var39,0.061716278023680876
var3,0.05545347547473723
var52,0.049738043057109056
var43,0.04885185022070515
var53,0.0439961562857931
var38,0.04197351902938092
var14,0.04165063200334797
var44,0.0375524381712332
var46,0.03598771602394199
var29,0.029293931386928394
var58,0.02884950979238765
var30,0.02400058308842656
var59,0.022786612306425005
var50,0.020978182546320334
var32,0.02053022365209525
var47,0.017756841033522132
var6,0.011396970445313147
