Feature,Importance
var1,0.20562278408038856
var4,0.08411980871825345
var42,0.0681886332872395
var39,0.06543202008672327
var43,0.04940781932699691
var38,0.04668891510400637
var3,0.044229141743892746
var52,0.04290865032568709
var46,0.03977602054660698
var14,0.03974572893121297
var53,0.03637288923434931
var44,0.03414924985358129
var58,0.03369858276453348
var59,0.02908896971565455
var30,0.02854247575682829
var50,0.027024566493504994
var29,0.02541388765882304
var37,0.022078339399437905
var32,0.01902977688996785
var47,0.01885044507476559
var45,0.015869005917417807
var6,0.009834867886032538
var25,0.007298945815242851
var2,0.006628475388852736
